Report_Year,Age,Year_of_Birth,Year_of_Death,Gender,Career,Income_per_Year_EGP,Residence_Site,Residence_Type,Real_Estate_ID,Marital_Status,Family_Size,Edu_Grade,Edu_Type,School_Type,University_Major,University_Type,Health_Percent,Requires_Hospital_Bed,Health_Condition,Has_Solar_System,Has_AC,Avg_Monthly_Electricity_KW,Avg_Monthly_Gas_m3,Avg_Monthly_Water_m3,Avg_Monthly_Food_Waste_kg,Avg_Monthly_Internet_GB,Carbon_Footprint_Index,Monthly_Energy_Consumption_Index,Green_Fuel_Vehicle_Owner,Public_Transit_Green_Fuel_Usage,Primary_Transport_Type
2040,30,2010,Alive,Male,Law,600052,R1,Apartment,43728526080257,Married,3,Graduate/Post-Graduate,Higher Ed,None,Law,National,80,1,Oncology Services,0,1,590.51,38.79,29.25,15.33,930.53,381.64,997.84,0,1,Fly Taxi
2040,24,2016,Alive,Female,Mechatronics,557585,R1,Apartment,43728526080257,Married,3,Graduate/Post-Graduate,Higher Ed,None,Mechatronics,National,88,0,None,0,1,590.51,38.79,29.25,15.33,930.53,381.64,997.84,1,1,Electric Vehicle
2040,2,2038,Alive,Male,Unemployed/Student,0,R1,Apartment,43728526080257,Single,3,None,None,None,None,None,78,0,Specialized Dentistry,0,1,590.51,38.79,29.25,15.33,930.53,381.64,997.84,1,1,Electric Vehicle
2040,34,2006,Alive,Male,Law,251136,R4,Apartment,36267173722273,Married,4,Graduate/Post-Graduate,Higher Ed,None,Law,Private,95,0,None,0,1,577.41,39.09,49.79,12.93,548.4,370.35,987.84,0,1,Monorail
2040,26,2014,Alive,Female,Human Resources,309242,R4,Apartment,36267173722273,Married,4,Graduate/Post-Graduate,Higher Ed,None,Human Resources,Public,93,0,Specialized Dentistry,0,1,577.41,39.09,49.79,12.93,548.4,370.35,987.84,0,0,Private Car (Combustion)
2040,6,2034,Alive,Female,Unemployed/Student,0,R4,Apartment,36267173722273,Single,4,Kindergarten,Basic,Public,None,None,90,0,None,0,1,577.41,39.09,49.79,12.93,548.4,370.35,987.84,1,1,Electric Vehicle
2040,4,2036,Alive,Male,Unemployed/Student,0,R4,Apartment,36267173722273,Single,4,Kindergarten,Basic,Private,None,None,87,0,None,0,1,577.41,39.09,49.79,12.93,548.4,370.35,987.84,0,0,Private Car (Combustion)
2040,31,2009,Alive,Male,Medicine,1093943,R8,Apartment,25152214721534,Married,2,Graduate/Post-Graduate,Higher Ed,None,Medicine,Public,53,0,Cardiovascular Services,0,1,740.54,32.93,29.68,10.9,758.72,426.35,1086.33,0,1,LRT
2040,24,2016,Alive,Female,Nursing,240800,R8,Apartment,25152214721534,Married,2,Graduate/Post-Graduate,Higher Ed,None,Nursing,National,85,0,None,0,1,740.54,32.93,29.68,10.9,758.72,426.35,1086.33,0,0,Private Car (Combustion)
2040,32,2008,Alive,Male,Medicine,1080343,R3,Apartment,15628188586701,Married,4,Graduate/Post-Graduate,Higher Ed,None,Medicine,Public,90,0,None,0,1,840.63,39.98,31.66,18.48,455.49,504.46,1260.43,0,0,Private Car (Combustion)
2040,25,2015,Alive,Female,Business Administration,505883,R3,Apartment,15628188586701,Married,4,Graduate/Post-Graduate,Higher Ed,None,Business Administration,Private,56,0,Mental Health,0,1,840.63,39.98,31.66,18.48,455.49,504.46,1260.43,0,1,Fly Taxi
2040,2,2038,Alive,Male,Unemployed/Student,0,R3,Apartment,15628188586701,Single,4,None,None,None,None,None,99,0,None,0,1,840.63,39.98,31.66,18.48,455.49,504.46,1260.43,0,0,Private Car (Combustion)
2040,6,2034,Alive,Male,Unemployed/Student,0,R3,Apartment,15628188586701,Single,4,Kindergarten,Basic,Public,None,None,98,0,None,0,1,840.63,39.98,31.66,18.48,455.49,504.46,1260.43,0,1,LRT
2040,33,2007,Alive,Male,Graphic Design,326958,R5,Apartment,51070121677352,Married,4,Graduate/Post-Graduate,Higher Ed,None,Graphic Design,International,89,0,None,0,1,461.73,44.77,34.14,7.33,447.4,315.65,931.79,0,1,Monorail
2040,26,2014,Alive,Female,Renewable Energy Engineering,206117,R5,Apartment,51070121677352,Married,4,Graduate/Post-Graduate,Higher Ed,None,Renewable Energy Engineering,National,51,0,Mental Health,0,1,461.73,44.77,34.14,7.33,447.4,315.65,931.79,1,1,Electric Vehicle
2040,4,2036,Alive,Female,Unemployed/Student,0,R5,Apartment,51070121677352,Single,4,Kindergarten,Basic,Private,None,None,95,0,None,0,1,461.73,44.77,34.14,7.33,447.4,315.65,931.79,0,1,Public Bus
2040,4,2036,Alive,Female,Unemployed/Student,0,R5,Apartment,51070121677352,Single,4,Kindergarten,Basic,Private,None,None,98,0,None,0,1,461.73,44.77,34.14,7.33,447.4,315.65,931.79,0,1,LRT
2040,27,2013,Alive,Male,Information Technology,250700,R4,Apartment,64785057631307,Married,3,Graduate/Post-Graduate,Higher Ed,None,Information Technology,International,91,0,None,0,1,130.61,38.48,35.89,23.73,445.5,195.07,534.68,0,1,LRT
2040,26,2014,Alive,Female,Medicine,1130063,R4,Apartment,64785057631307,Married,3,Graduate/Post-Graduate,Higher Ed,None,Medicine,International,98,0,None,0,1,130.61,38.48,35.89,23.73,445.5,195.07,534.68,0,1,Monorail
2040,4,2036,Alive,Male,Unemployed/Student,0,R4,Apartment,64785057631307,Single,3,Kindergarten,Basic,Private,None,None,90,0,None,0,1,130.61,38.48,35.89,23.73,445.5,195.07,534.68,0,1,LRT
2040,22,2018,Alive,Male,Economics,199377,R6,Apartment,80215807562464,Married,2,Graduate/Post-Graduate,Higher Ed,None,Economics,Public,89,0,None,1,1,116.19,29.96,34.74,18.29,627.81,157.95,430.8,1,1,Electric Vehicle
2040,27,2013,Alive,Female,Accounting,251813,R6,Apartment,80215807562464,Married,2,Graduate/Post-Graduate,Higher Ed,None,Accounting,National,88,0,None,1,1,116.19,29.96,34.74,18.29,627.81,157.95,430.8,0,1,Public Bus
2040,31,2009,Alive,Male,Medicine,646008,R1,Apartment,42142026452734,Married,5,Graduate/Post-Graduate,Higher Ed,None,Medicine,Public,94,0,None,1,1,295.64,18.86,37.11,14.12,424.16,206.06,493.7,0,1,LRT
2040,27,2013,Alive,Female,Pharmacy,415296,R1,Apartment,42142026452734,Married,5,Graduate/Post-Graduate,Higher Ed,None,Pharmacy,International,64,0,Oncology Services,1,1,295.64,18.86,37.11,14.12,424.16,206.06,493.7,0,1,Fly Taxi
2040,4,2036,Alive,Male,Unemployed/Student,0,R1,Apartment,42142026452734,Single,5,Kindergarten,Basic,International,None,None,96,0,None,1,1,295.64,18.86,37.11,14.12,424.16,206.06,493.7,1,1,Electric Vehicle
2040,7,2033,Alive,Female,Unemployed/Student,0,R1,Apartment,42142026452734,Single,5,Primary,Basic,Private,None,None,97,0,None,1,1,295.64,18.86,37.11,14.12,424.16,206.06,493.7,0,1,LRT
2040,5,2035,Alive,Female,Unemployed/Student,0,R1,Apartment,42142026452734,Single,5,Kindergarten,Basic,Private,None,None,95,0,None,1,1,295.64,18.86,37.11,14.12,424.16,206.06,493.7,0,1,Public Bus
2040,28,2012,Alive,Male,Artificial Intelligence,842827,R5,Apartment,71785075525176,Married,4,Graduate/Post-Graduate,Higher Ed,None,Artificial Intelligence,International,91,0,None,0,1,492.65,36.93,20.43,24.24,597.06,356.16,880.38,0,1,LRT
2040,28,2012,Alive,Female,Renewable Energy Engineering,329400,R5,Apartment,71785075525176,Married,4,Graduate/Post-Graduate,Higher Ed,None,Renewable Energy Engineering,Public,44,0,Mental Health,0,1,492.65,36.93,20.43,24.24,597.06,356.16,880.38,0,0,Private Car (Combustion)
2040,1,2039,Alive,Female,Unemployed/Student,0,R5,Apartment,71785075525176,Single,4,None,None,None,None,None,98,0,None,0,1,492.65,36.93,20.43,24.24,597.06,356.16,880.38,0,1,LRT
2040,7,2033,Alive,Male,Unemployed/Student,0,R5,Apartment,71785075525176,Single,4,Primary,Basic,Public,None,None,77,0,Ophthalmology and Surgeries,0,1,492.65,36.93,20.43,24.24,597.06,356.16,880.38,0,1,LRT
2040,32,2008,2077,Male,Cybersecurity,350253,R7,Villa,75764303350666,Married,2,Graduate/Post-Graduate,Higher Ed,None,Cybersecurity,Public,95,0,None,1,1,252.16,51.53,25.68,11.95,932.74,246.4,793.18,1,1,Electric Vehicle
2040,30,2010,Alive,Female,Artificial Intelligence,650845,R7,Villa,75764303350666,Married,2,Graduate/Post-Graduate,Higher Ed,None,Artificial Intelligence,Private,58,1,Oncology Services,1,1,252.16,51.53,25.68,11.95,932.74,246.4,793.18,0,1,Monorail
2040,30,2010,Alive,Male,Cybersecurity,859876,R5,Apartment,08515616676018,Married,4,Graduate/Post-Graduate,Higher Ed,None,Cybersecurity,Private,88,0,None,0,1,693.38,40.04,43.64,9.6,678.65,416.09,1113.82,0,1,LRT
2040,27,2013,Alive,Female,Human Resources,316813,R5,Apartment,08515616676018,Married,4,Graduate/Post-Graduate,Higher Ed,None,Human Resources,International,89,0,None,0,1,693.38,40.04,43.64,9.6,678.65,416.09,1113.82,0,0,Private Car (Combustion)
2040,3,2037,Alive,Male,Unemployed/Student,0,R5,Apartment,08515616676018,Single,4,None,None,None,None,None,92,0,None,0,1,693.38,40.04,43.64,9.6,678.65,416.09,1113.82,0,1,Monorail
2040,2,2038,Alive,Female,Unemployed/Student,0,R5,Apartment,08515616676018,Single,4,None,None,None,None,None,59,0,Ophthalmology and Surgeries,0,1,693.38,40.04,43.64,9.6,678.65,416.09,1113.82,0,0,Private Car (Combustion)
2040,27,2013,Alive,Male,Mechatronics,527493,R4,Twin House,61866776268013,Married,3,Graduate/Post-Graduate,Higher Ed,None,Mechatronics,Private,99,0,None,0,1,597.61,32.74,39.82,6.96,444.25,351.79,941.33,1,1,Electric Vehicle
2040,23,2017,Alive,Female,Architecture,174340,R4,Twin House,61866776268013,Married,3,Graduate/Post-Graduate,Higher Ed,None,Architecture,International,49,0,Ophthalmology and Surgeries,0,1,597.61,32.74,39.82,6.96,444.25,351.79,941.33,0,1,Fly Taxi
2040,1,2039,Alive,Male,Unemployed/Student,0,R4,Twin House,61866776268013,Single,3,None,None,None,None,None,99,0,None,0,1,597.61,32.74,39.82,6.96,444.25,351.79,941.33,1,1,Electric Vehicle
2040,31,2009,Alive,Male,Civil Engineering,236563,R7,Town House,82122542305134,Married,4,Graduate/Post-Graduate,Higher Ed,None,Civil Engineering,International,60,0,Neurology,0,1,506.53,45.31,27.19,8.22,243.91,339.1,982.25,0,0,Private Car (Combustion)
2040,27,2013,Alive,Female,Economics,412062,R7,Town House,82122542305134,Married,4,Graduate/Post-Graduate,Higher Ed,None,Economics,National,95,0,None,0,1,506.53,45.31,27.19,8.22,243.91,339.1,982.25,1,1,Electric Vehicle
2040,6,2034,Alive,Male,Unemployed/Student,0,R7,Town House,82122542305134,Single,4,Kindergarten,Basic,Private,None,None,97,0,None,0,1,506.53,45.31,27.19,8.22,243.91,339.1,982.25,0,1,Public Bus
2040,0,2040,Alive,Male,Unemployed/Student,0,R7,Town House,82122542305134,Single,4,None,None,None,None,None,89,0,None,0,1,506.53,45.31,27.19,8.22,243.91,339.1,982.25,0,0,Private Car (Combustion)
2040,32,2008,Alive,Male,Architecture,494070,R8,Apartment,15478862601248,Married,4,Graduate/Post-Graduate,Higher Ed,None,Architecture,Public,99,0,None,0,1,479.87,28.5,31.89,12.14,590.07,303.31,779.16,0,0,Private Car (Combustion)
2040,26,2014,Alive,Female,Supply Chain Management,617948,R8,Apartment,15478862601248,Married,4,Graduate/Post-Graduate,Higher Ed,None,Supply Chain Management,Private,86,0,None,0,1,479.87,28.5,31.89,12.14,590.07,303.31,779.16,0,0,Private Car (Combustion)
2040,6,2034,Alive,Female,Unemployed/Student,0,R8,Apartment,15478862601248,Single,4,Kindergarten,Basic,International,None,None,89,0,Specialized Dentistry,0,1,479.87,28.5,31.89,12.14,590.07,303.31,779.16,0,0,Private Car (Combustion)
2040,4,2036,Alive,Male,Unemployed/Student,0,R8,Apartment,15478862601248,Single,4,Kindergarten,Basic,Private,None,None,87,0,None,0,1,479.87,28.5,31.89,12.14,590.07,303.31,779.16,0,0,Private Car (Combustion)
2040,27,2013,Alive,Male,Law,667966,R5,Twin House,38103575058466,Married,2,Graduate/Post-Graduate,Higher Ed,None,Law,Private,86,0,None,1,1,295.1,36.06,27.65,25.87,622.44,269.58,673.69,0,0,Private Car (Combustion)
2040,21,2019,Alive,Female,Human Resources,208636,R5,Twin House,38103575058466,Married,2,Graduate/Post-Graduate,Higher Ed,None,Human Resources,Private,40,0,Ophthalmology and Surgeries,1,1,295.1,36.06,27.65,25.87,622.44,269.58,673.69,1,1,Electric Vehicle
2040,30,2010,Alive,Male,Artificial Intelligence,716780,R3,Villa,23568186584257,Married,4,Graduate/Post-Graduate,Higher Ed,None,Artificial Intelligence,National,88,0,None,0,1,648.35,27.64,39.85,18.43,542.52,393.1,938.55,1,1,Electric Vehicle
2040,23,2017,Alive,Female,Education/Teaching,182142,R3,Villa,23568186584257,Married,4,Graduate/Post-Graduate,Higher Ed,None,Education/Teaching,Private,86,0,None,0,1,648.35,27.64,39.85,18.43,542.52,393.1,938.55,0,1,LRT
2040,0,2040,Alive,Female,Unemployed/Student,0,R3,Villa,23568186584257,Single,4,None,None,None,None,None,99,0,None,0,1,648.35,27.64,39.85,18.43,542.52,393.1,938.55,0,0,Private Car (Combustion)
2040,2,2038,Alive,Female,Unemployed/Student,0,R3,Villa,23568186584257,Single,4,None,None,None,None,None,85,0,None,0,1,648.35,27.64,39.85,18.43,542.52,393.1,938.55,1,1,Electric Vehicle
2040,25,2015,Alive,Male,Economics,330420,R6,Villa,74225810071302,Married,4,Graduate/Post-Graduate,Higher Ed,None,Economics,Private,87,0,None,0,1,911.55,37.57,28.25,18.61,432.87,531.87,1306.0,0,1,Public Bus
2040,25,2015,Alive,Female,Data Science,978113,R6,Villa,74225810071302,Married,4,Graduate/Post-Graduate,Higher Ed,None,Data Science,National,87,0,None,0,1,911.55,37.57,28.25,18.61,432.87,531.87,1306.0,0,1,Monorail
2040,0,2040,Alive,Male,Unemployed/Student,0,R6,Villa,74225810071302,Single,4,None,None,None,None,None,95,0,None,0,1,911.55,37.57,28.25,18.61,432.87,531.87,1306.0,0,1,Monorail
2040,2,2038,Alive,Male,Unemployed/Student,0,R6,Villa,74225810071302,Single,4,None,None,None,None,None,94,0,None,0,1,911.55,37.57,28.25,18.61,432.87,531.87,1306.0,0,1,LRT
2040,31,2009,Alive,Male,Mechatronics,193829,R2,Apartment,02557318206038,Married,5,Graduate/Post-Graduate,Higher Ed,None,Mechatronics,International,87,0,None,0,1,656.67,7.64,20.79,8.76,522.17,332.7,736.92,0,1,LRT
2040,23,2017,Alive,Female,Information Technology,287718,R2,Apartment,02557318206038,Married,5,Graduate/Post-Graduate,Higher Ed,None,Information Technology,Private,77,0,Physical Therapy and Rehabilitation,0,1,656.67,7.64,20.79,8.76,522.17,332.7,736.92,1,1,Electric Vehicle
2040,3,2037,Alive,Male,Unemployed/Student,0,R2,Apartment,02557318206038,Single,5,None,None,None,None,None,97,0,None,0,1,656.67,7.64,20.79,8.76,522.17,332.7,736.92,0,0,Private Car (Combustion)
2040,4,2036,Alive,Female,Unemployed/Student,0,R2,Apartment,02557318206038,Single,5,Kindergarten,Basic,Private,None,None,98,0,None,0,1,656.67,7.64,20.79,8.76,522.17,332.7,736.92,0,1,Public Bus
2040,0,2040,Alive,Female,Unemployed/Student,0,R2,Apartment,02557318206038,Single,5,None,None,None,None,None,63,0,Mental Health,0,1,656.67,7.64,20.79,8.76,522.17,332.7,736.92,1,1,Electric Vehicle
2040,29,2011,Alive,Male,Graphic Design,197343,R5,Apartment,77300187482634,Married,4,Graduate/Post-Graduate,Higher Ed,None,Graphic Design,International,97,0,None,0,1,348.12,42.14,26.0,7.45,737.56,259.56,790.62,0,1,Fly Taxi
2040,29,2011,Alive,Female,Software Engineering,328699,R5,Apartment,77300187482634,Married,4,Graduate/Post-Graduate,Higher Ed,None,Software Engineering,National,97,0,None,0,1,348.12,42.14,26.0,7.45,737.56,259.56,790.62,0,1,LRT
2040,5,2035,Alive,Male,Unemployed/Student,0,R5,Apartment,77300187482634,Single,4,Kindergarten,Basic,Public,None,None,85,0,None,0,1,348.12,42.14,26.0,7.45,737.56,259.56,790.62,1,1,Electric Vehicle
2040,0,2040,Alive,Male,Unemployed/Student,0,R5,Apartment,77300187482634,Single,4,None,None,None,None,None,85,0,Specialized Dentistry,0,1,348.12,42.14,26.0,7.45,737.56,259.56,790.62,0,1,LRT
2040,30,2010,Alive,Male,Digital Marketing,426133,R1,Apartment,57538621277585,Married,3,Graduate/Post-Graduate,Higher Ed,None,Digital Marketing,Private,92,0,None,0,1,570.09,55.26,31.73,16.87,600.98,409.25,1150.36,0,1,Monorail
2040,23,2017,Alive,Female,Artificial Intelligence,870318,R1,Apartment,57538621277585,Married,3,Graduate/Post-Graduate,Higher Ed,None,Artificial Intelligence,Public,95,0,None,0,1,570.09,55.26,31.73,16.87,600.98,409.25,1150.36,0,0,Private Car (Combustion)
2040,0,2040,Alive,Female,Unemployed/Student,0,R1,Apartment,57538621277585,Single,3,None,None,None,None,None,94,0,None,0,1,570.09,55.26,31.73,16.87,600.98,409.25,1150.36,0,0,Private Car (Combustion)
